Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Agar Agar, ;Verschiedenes/Gelier- und Bindemittel;;pro 100g ;641;160;0,2;-;-;-;-;0;-;-;74,1;2,4;0,3;-;20,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;130;-;660;100;34;4,5;-;1,5;-
Agavensirup, Agavendicksaft;Süssigkeiten/Zucker und Süssstoffe;;pro 100g ;1240;293;0;-;-;-;-;73,1;-;-;0;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Älplermagronen, zubereitet, ;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;766;183;9;5,3;2,1;0,5;26;18,6;1,4;17,1;1,7;6;1,1;0;64,8;88;85;82;33;31;0,04;0,09;0,09;0,22;0,7;9,1;0,25;3,1;0,2;0,2;160;440;690;120;20;120;0,4;6,6;0,8;-
Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;531;126;2,4;0,5;0,6;0,9;0;19,1;0,6;18,5;3,7;5,3;0;0;69,6;0;0;0;0;0;0,02;0,06;0,11;0;0,34;16,2;0,27;1;0;0,4;150;1,9;36;58;84;180;3;0,8;1,2;-
Amaranth, Samen, roh, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;1580;376;7;1,5;1,7;2,8;0;56,8;1,7;55,1;11;15,8;0;0;11,1;0;0;0;0;0;0,08;0,19;0,53;0;1,2;64,3;0,95;4,2;0;1,19;480;4;110;160;250;560;9;2,5;3,7;-
Amaretti (Mandelgebäck), ;Süssigkeiten/Guetzli;;pro 100g ;1920;456;12,4;0,9;7,9;3,3;0;75,7;75,7;1;3,2;8,7;0,1;0;1;0;0;0;0;0;0,05;0,19;0,04;0,02;0,54;13,3;0,15;0;0;7,37;220;36;49;69;62;130;1,3;2;1,5;-
Ananas, gezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;366;86;0,2;0;0;0,1;0;20,2;20,2;0;1,3;0,4;0;0;77,9;-;-;-;-;-;0,06;0,02;0,07;0;0,24;6,3;0,15;8,1;0;0,09;120;1,8;35;13;14;9,9;0,3;0;0,1;-
Ananas, roh, ;Früchte/Früchte frisch;;pro 100g ;219;52;0,2;0;0;0,1;0;11,3;11,3;0;1,4;0,4;0;0;86,5;9;5;0;56;56;0,07;0,02;0,08;0;0,21;7,6;0,17;51,4;0;0,1;150;2;39;15;15;11;0,3;1,4;0,1;-
Ananas, ungezuckert (Konserve), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;218;51;0,2;0;0;0,1;0;11,3;11,3;0;1,4;0,4;0;0;86,5;9;5;0;56;56;0,06;0,03;0,08;0;0,27;7;0,17;9;0;0,1;130;2;39;14;15;11;0,3;0;0,1;-
Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker), ;Früchte/Früchte gekocht (inkl. Konserven);;pro 100g ;305;72;0,4;0,1;0;0,1;0;15,4;15,3;0,1;2,8;0,4;0;0;81,1;6;3;0;34;20;0,02;0,01;0,05;0;0,1;12;0,11;6,4;0;0,66;140;5,3;2,9;6,3;5,3;12;0,3;1,1;0,1;-
